Time (sec),Force (lb),EE (in/in),Stress (psi),"Stress, Corr. (psi)"
10.0915500727,1.262,0.124462450897,100.96,113.525729043
10.1535500727,1.266,0.125227117563,101.28,113.963002467
10.2155500727,1.268,0.12599178423,101.44,114.220606592
10.2775500727,1.272,0.126756450897,101.76,114.658736443
10.3395500727,1.276,0.127521117563,102.08,115.097355681
10.4015500727,1.279,0.12828578423,102.32,115.446201442
10.4635500727,1.283,0.129050450897,102.64,115.88573828
10.5255500727,1.284,0.129815117563,102.72,116.054608876
10.5875500727,1.288,0.13057978423,103.04,116.494940967
10.6495500727,1.29,0.131344450897,103.2,116.754747333
10.7115500727,1.293,0.132109117563,103.44,117.105367121
10.7735500727,1.295,0.13287378423,103.6,117.365724046
10.8355500727,1.298,0.133638450897,103.84,117.717016741
10.8975500727,1.3,0.134403117563,104.0,117.977924227
10.9595500727,1.302,0.13516778423,104.16,118.239076405
11.0215500727,1.304,0.135932450897,104.32,118.500473278
11.0835500727,1.308,0.136697117563,104.64,118.943986382
11.1455500727,1.31,0.13746178423,104.8,119.205994987
11.2075500727,1.312,0.138226450897,104.96,119.468248286
11.2695500727,1.315,0.138991117563,105.2,119.821865568
11.3315500727,1.317,0.13975578423,105.36,120.084669426
11.3935500727,1.319,0.140520450897,105.52,120.347717979
11.4555500727,1.321,0.141285117563,105.68,120.611011224
11.5175500727,1.323,0.14204978423,105.84,120.874549163
11.5795500727,1.325,0.142814450897,106.0,121.138331795
11.6415500727,1.328,0.143579117563,106.24,121.49384545
11.7035500727,1.329,0.14434378423,106.32,121.666631139
11.7655500727,1.331,0.145108450897,106.48,121.931147851
11.8275500727,1.333,0.145873117563,106.64,122.195909257
11.8895500727,1.335,0.14663778423,106.8,122.460915356
11.9515500727,1.336,0.147402450897,106.88,122.634373952
12.0135500727,1.338,0.148167117563,107.04,122.899808264
12.0755500727,1.338,0.14893178423,107.04,122.981658184
12.1375500727,1.34,0.149696450897,107.2,123.247459536
12.1995500727,1.341,0.150461117563,107.28,123.421468692
12.2615500727,1.342,0.15122578423,107.36,123.595600195
12.3235500727,1.343,0.151990450897,107.44,123.769854044
12.3855500727,1.344,0.152755117563,107.52,123.94423024
12.4475500727,1.345,0.15351978423,107.6,124.118728783
12.5095500727,1.345,0.154284450897,107.6,124.201006916
12.5715500727,1.346,0.155049117563,107.68,124.375688979
12.6335500727,1.346,0.15581378423,107.68,124.458028286
12.6955500727,1.345,0.156578450897,107.6,124.447841316
12.7575500727,1.345,0.157343117563,107.6,124.53011945
12.8195500727,1.345,0.15810778423,107.6,124.612397583
12.8815500727,1.345,0.158872450897,107.6,124.694675716
12.9435500727,1.345,0.159637117563,107.6,124.77695385
13.0055500727,1.344,0.16040178423,107.52,124.76639984
13.0675500727,1.343,0.161166450897,107.44,124.755723484
13.1295500727,1.343,0.161931117563,107.44,124.837879271
13.1915500727,1.342,0.16269578423,107.36,124.827019395
13.2535500727,1.341,0.163460450897,107.28,124.816037172
13.3155500727,1.34,0.164225117563,107.2,124.804932603
13.3775500727,1.337,0.16498978423,106.96,124.607307321
13.4395500727,1.335,0.165754450897,106.8,124.502575356
13.5015500727,1.331,0.166519117563,106.48,124.210955638
13.5635500727,1.327,0.16728378423,106.16,123.918846534
13.6255500727,1.325,0.168048450897,106.0,123.813135795
13.6875500727,1.321,0.168813117563,105.68,123.520170264
13.7495500727,1.318,0.16957778423,105.44,123.320281569
13.8115500727,1.315,0.170342450897,105.2,123.120025834
13.8735500727,1.313,0.171107117563,105.04,123.013091629
13.9355500727,1.311,0.17187178423,104.88,122.90591273
13.9975500727,1.308,0.172636450897,104.64,122.704678222
14.0595500727,1.304,0.173401117563,104.32,122.409204584
14.1215500727,1.3,0.17416578423,104.0,122.11324156
14.1835500727,1.293,0.174930450897,103.44,121.534805841
14.2455500727,1.289,0.175695117563,103.12,121.237680523
14.3075500727,1.279,0.17645978423,102.32,120.375365122
14.3695500727,1.268,0.177224450897,101.44,119.417648299
14.4315500727,1.26,0.177989117563,100.8,118.74130305
14.4935500727,1.252,0.17875378423,100.16,118.063979028
14.5555500727,1.242,0.179518450897,99.36,117.196953281
14.6175500727,1.234,0.180283117563,98.72,116.517549366
14.6795500727,1.223,0.18104778423,97.84,115.553715209
14.7415500727,1.211,0.181812450897,96.88,114.493990243
14.8035500727,1.203,0.182577117563,96.24,113.811221794
14.8655500727,1.186,0.18334178423,94.88,112.275468488
14.9275500727,1.171,0.184106450897,93.68,110.92709232
14.9895500727,1.154,0.184871117563,92.32,109.387301573
15.0515500727,1.135,0.18563578423,90.8,107.655729208
15.1135500727,1.11,0.186400450897,88.8,105.35236004
15.1755500727,1.079,0.187165117563,86.32,102.476092948
15.2375500727,1.042,0.18792978423,83.36,99.0258268134
15.2995500727,1.006,0.188694450897,80.48,95.6661294082
15.3615500727,0.9757,0.189459117563,78.056,92.8444208805
15.4235500727,0.9369,0.19022378423,74.952,89.2096530756
15.4855500727,0.9145,0.190988450897,73.16,87.1327150676
15.5475500727,0.8676,0.191753117563,69.408,82.7172003838
15.6095500727,0.8276,0.19251778423,66.208,78.9542174583
15.6715500727,0.7757,0.193282450897,62.056,74.0503357729
15.7335500727,0.7183,0.194047117563,57.464,68.6147235637
15.7955500727,0.6126,0.19481178423,49.008,58.5553359216
15.8575500727,0.5356,0.195576450897,42.848,51.228059768
